PrevEdu12,ExamScore,Existing EMIs,Marks10,Marital Status,DOB,CoapplicantAadhaar,CollateralType,Occupation,Email,Purpose of Loan,Gold Purity (karats),LoanAmount,Full_Name,HostelFees,ReferenceConsent,Nationality,Annual Income,FamilyIncome,Loan Amount Requested,Degree,Loan_Type,Credit Score,Down Payment Made,DegreeMarks,Gold Storage,CreditCheckConsent,AgreeToTerms,Existing Loans,Job Stability(years),Car insurance available,Gender,Photo Submitted,Gold Valuation Certificate,TotalCost,ITRAvailable,Employment Type,CoapplicantPAN,PrevEdu10,Institution,Income,Defaults,FamilyContribution,CourseName,InstitutionLocation,Repayment Method,Loan,Preferred EMI Amount,CourseType,Account_Number,PAN,Liabilities,EntranceExam,Min Gold Weight (g),Marks12,RepaymentDuration,Loan status,Age,Residential Address,Past Loan ,CoapplicantName,Country of study,Address Proof,ss,Contact number,Number of Dependents,TuitionFees,CourseDuration,Owns Gold,Proof of Income,CoapplicantRelation,Address Type,ID Proof,CollateralDetails,Loan Tenure,EmploymentType,Car brand ,AdmissionStatus,BooksCost,TravelCost,ExistingLoans,Car  value & type,Aadhaar,Assets,Gold Insurance
CBSE,254.0,,93%,,2005-05-16,2183-9549-7063,Fixed Deposit,Businessman,joelhart@bush.com,,,601131.0,Alejandro Davenport,154032.0,Yes,Indian,,1381026.0,,None,Educational,,,88%,,Yes,Yes,,,,Male,,,787676.0,No,,dsphg4477o,CBSE,IIT Delhi,345003.0,,186545.0,MCA,Port Christopherberg,,,,Professional,1015,bHzUp8680I,495859.0,None,,90%,8 years,,,"9947 Michelle Knoll, New Alexanderfurt, TN 95364",,Justin Brown,India,,,251.222.5118x0108,,553455.0,4 years,,,Guardian,Owned,,Fixed Deposit of ?157971,,Salaried,,Provisional,44646.0,35543.0,0.0,,9948-7737-2909,3298857.0,
,,,,,,,,,,Education,22.0,,Nirav,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,yes,,,,Monthly,,,,1000,,,,50.0,,,Declined,35.0,,,,,Utility Bill,,,,,,No,Salary Slip,,,Aadhar,,,,,,,,,,,,Yes
,,,,,,,,,,Medical,24.0,,kavitha,,,,,,,,Gold,,,,Home Safe,,,No,,,,NO,NO,,,Self-Employed,,,,,no,,,,Monthly,,,,1001,,,,60.0,,,Approved,40.0,,,,,Rental Agreement,,,,,,Yes,Bank Statement,,,PAN,,,,,,,,,,,,NO
,,,,,,,,,,Business,18.0,,Ram,,,,,,,,Gold,,,,Bank Vault,,,yes,,,,Yes,Yes,,,Salaried,,,,,yes,,,,Monthly,,,,1002,,,,40.0,,,Declined,28.0,,,,,Passport,,,,,,Yes,salary slip,,,Aadhar,,,,,,,,,,,,Yes
,,,,,,,,,,Wedding,22.0,,Ravi,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,no,,,,Yearly,,,,1003,,,,55.0,,,Approved,32.0,,,,,Electricity Bill,,,,,,No,Salary Slip,,,Voter ID,,,,,,,,,,,,Yes
,,,,,,,,,,Home Renovation,20.0,,Sharan,,,,,,,,Gold,,,,Bank Vault,,,No,,,,NO,NO,,,Self-Employed,,,,,no,,,,Monthly,,,,1004,,,,45.0,,,Approved,45.0,,,,,Utility Bill,,,,,,Yes,bank statement,,,PAN,,,,,,,,,,,,NO
,,,,,,,,,,Travel,22.0,,Tamil,,,,,,,,Gold,,,,Home Safe,,,No,,,,Yes,Yes,,,Salaried,,,,,yes,,,,Monthly,,,,1005,,,,52.0,,,Declined,30.0,,,,,Rental Agreement,,,,,,Yes,Bank Statement,,,Aadhar,,,,,,,,,,,,Yes
,,,,,,,,,,Education,24.0,,Renu,,,,,,,,Gold,,,,Bank Vault,,,yes,,,,NO,Yes,,,Salaried,,,,,no,,,,Monthly,,,,1006,,,,65.0,,,Approved,36.0,,,,,Passport,,,,,,NO,Salary Slip,,,PAN,,,,,,,,,,,,Yes
,,,,,,,,,,Medical,22.0,,Jay,,,,,,,,Gold,,,,Home Safe ,,,No,,,,NO,NO,,,Self-Employed,,,,,no,,,,yearly,,,,1007,,,,48.0,,,Approved,38.0,,,,,Electricity Bill,,,,,,NO,Salary Slip,,,Aadhar,,,,,,,,,,,,NO
,,,,,,,,,,Business,18.0,,Vasu,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,no,,,,Monthly,,,,1008,,,,42.0,,,Approved,29.0,,,,,Utility Bill,,,,,,Yes,Bank Statement,,,PAN,,,,,,,,,,,,NO
,,,,,,,,,,Wedding,20.0,,vinai,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,yes,,,,Quterly,,,,1009,,,,47.0,,,Declined,34.0,,,,,Rental Agreement,,,,,,NO,Bank Statement,,,Voter ID,,,,,,,,,,,,Yes
,,,,,,,,,,Home Renovation,22.0,,varun,,,,,,,,Gold,,,,Home Safe,,,yes,,,,NO,Yes,,,Self-Employed,,,,,no,,,,yearly,,,,1010,,,,53.0,,,Approved,31.0,,,,,Passport,,,,,,Yes,Salary Slip,,,Aadhar,,,,,,,,,,,,Yes
,,,,,,,,,,Travel,24.0,,Thanisk,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,NO,,,Salaried,,,,,yes,,,,Monthly,,,,1011,,,,67.0,,,Declined,43.0,,,,,Electricity Bill,,,,,,Yes,Salary Slip,,,PAN,,,,,,,,,,,,Yes
,,,,,,,,,,Education,22.0,,Kavin,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,no,,,,Monthly,,,,1012,,,,51.0,,,Approved,33.0,,,,,Utility Bill,,,,,,Yes,Salary Slip,,,Aadhar,,,,,,,,,,,,NO
,,,,,,,,,,Medical,20.0,,Robin,,,,,,,,Gold,,,,Home Safe,,,yes,,,,NO,Yes,,,Self-Employed,,,,,no,,,,Monthly,,,,1013,,,,46.0,,,Approved,41.0,,,,,Rental Agreement,,,,,,NO,Bank Statement,,,PAN,,,,,,,,,,,,Yes
,,,,,,,,,,Business,22.0,,lakshan,,,,,,,,Gold,,,,Bank Vault,,,No,,,,Yes,Yes,,,Salaried,,,,,no,,,,yearly,,,,1014,,,,54.0,,,Approved,37.0,,,,,Passport,,,,,,Yes,Bank Statement,,,Aadhar,,,,,,,,,,,,NO
,,5000.0,,single,,,,,,,,,Alice,,,,550000.0,,2000000.0,,Car,720.0,500000.0,,,,,,3.0,no,,,,,,salaried,,,,,yes,,,,,declined,2000.0,,1023,,,,,,,,28.0,,0.0,,,,no,,2.0,,,,,,,,,20.0,,Toyoto,,,,,"6,00,000 & new",,,
,,12000.0,,married,,,,,,,,,bob,,,,1200000.0,,3000000.0,,Car,690.0,1000000.0,,,,,,10.0,yes,,,,,,self-employed,,,,,no,,,,,approved,1000.0,,4587,,,,,,,,45.0,,1.0,,,,no,,3.0,,,,,,,,,15.0,,Alto,,,,,"8,00,000 & new",,,
,,8000.0,,married,,,,,,,,,carol,,,,800000.0,,2500000.0,,Car,750.0,700000.0,,,,,,7.0,yes,,,,,,salaried,,,,,yes,,,,,declined,5000.0,,2314,,,,,,,,36.0,,0.0,,,,no,,1.0,,,,,,,,,25.0,,Audi,,,,,"4,50,000 & used",,,
,,0.0,,married,,,,,,,,,david,,,,950000.0,,1800000.0,,Car,680.0,600000.0,,,,,,0.0,yes,,,,,,retired,,,,,yes,,,,,declined,2000.0,,3491,,,,,,,,51.0,,0.0,,,,yes,,0.0,,,,,,,,,10.0,,KIA,,,,,"12,70,000 & new",,,
,,3000.0,,single,,,,,,,,,emma,,,,620000.0,,1500000.0,,Car,710.0,400000.0,,,,,,4.0,no,,,,,,salaried,,,,,yes,,,,,declined,3500.0,,5642,,,,,,,,29.0,,0.0,,,,yes,,1.0,,,,,,,,,20.0,,Toyoto,,,,,"5,00,000 & used",,,
,,9000.0,,married,,,,,,,,,frank,,,,1100000.0,,3000000.0,,Car,740.0,800000.0,,,,,,8.0,yes,,,,,,self-employed,,,,,no,,,,,approved,2000.0,,7891,,,,,,,,38.0,,0.0,,,,yes,,2.0,,,,,,,,,30.0,,THAR,,,,,"7,00,000 & used",,,
,,7000.0,,married,,,,,,,,,grace,,,,1050000.0,,2000000.0,,Car,765.0,500000.0,,,,,,12.0,no,,,,,,salaried,,,,,no,,,,,approved,1500.0,,1209,,,,,,,,42.0,,1.0,,,,no,,1.0,,,,,,,,,15.0,,Hyundai,,,,,"10,90,000 & new",,,
,,4000.0,,single,,,,,,,,,henry,,,,700000.0,,2000000.0,,Car,715.0,500000.0,,,,,,5.0,yes,,,,,,salaried,,,,,yes,,,,,declined,800.0,,6753,,,,,,,,31.0,,0.0,,,,yes,,0.0,,,,,,,,,20.0,,Alto,,,,,"8,00,000 & new",,,
,,2000.0,,divorced,,,,,,,,,ivy,,,,800000.0,,1800000.0,,Car,650.0,600000.0,,,,,,0.0,yes,,,,,,retired,,,,,no,,,,,approved,1000.0,,9840,,,,,,,,60.0,,1.0,,,,yes,,0.0,,,,,,,,,10.0,,KIA,,,,,"10,00,000 & new",,,
,,10000.0,,married,,,,,,,,,jack,,,,900000.0,,2200000.0,,Car,730.0,600000.0,,,,,,6.0,no,,,,,,salaried,,,,,yes,,,,,declined,1000.0,,3472,,,,,,,,34.0,,0.0,,,,no,,2.0,,,,,,,,,25.0,,Skoda,,,,,"7,50,000 & used",,,
,,9000.0,,married,,,,,,,,,kelly,,,,1000000.0,,2800000.0,,Car,760.0,600000.0,,,,,,11.0,yes,,,,,,self-employed,,,,,yes,,,,,declined,1700.0,,2286,,,,,,,,40.0,,0.0,,,,yes,,2.0,,,,,,,,,20.0,,Hyundai,,,,,"6,50,000 & new",,,
,,1000.0,,single,,,,,,,,,liam,,,,580000.0,,1300000.0,,Car,710.0,300000.0,,,,,,2.0,yes,,,,,,salaried,,,,,yes,,,,,declined,500.0,,4290,,,,,,,,27.0,,0.0,,,,yes,,0.0,,,,,,,,,15.0,,Toyoto,,,,,"7,00,000 & new",,,
,,3000.0,,married,,,,,,,,,maya,,,,750000.0,,2000000.0,,Car,725.0,500000.0,,,,,,6.0,no,,,,,,salaried,,,,,yes,,,,,declined,1000.0,,1135,,,,,,,,35.0,,0.0,,,,no,,2.0,,,,,,,,,20.0,,Hyundai,,,,,"6,80,000 & used",,,
,,6000.0,,married,,,,,,,,,peter,,,,1150000.0,,2500000.0,,Car,770.0,700000.0,,,,,,14.0,yes,,,,,,self-employed,,,,,yes,,,,,declined,4000.0,,5067,,,,,,,,48.0,,0.0,,,,yes,,1.0,,,,,,,,,20.0,,Alto ,,,,,"5,00,000 & used",,,
,,2500.0,,single,,,,,,,,,olivia,,,,680000.0,,1800000.0,,Car,705.0,400000.0,,,,,,5.0,no,,,,,,salaried,,,,,no,,,,,approved,1100.0,,7908,,,,,,,,33.0,,1.0,,,,no,,1.0,,,,,,,,,15.0,,THAR,,,,,"14,00,000 & new",,,
